className,PR2018,PR2019,PR2020,PR2021
柽柳灌丛,0.0816214439090909,0.09241148936363636,2.9015151513636366,3.0909090910000003
梭梭荒漠,0.23130440064,0.21101397132,6.27666666676,6.8266666664
沙拐枣属荒漠,0.18453629525,0.135339731875,4.645833333375,5.437500000375
沙生针茅荒漠草原,0.3068447776,0.2730841083,13.275000000899999,13.449999999
猪毛菜属荒漠,0.23829902711111112,0.23019349911111112,7.3425925925555555,8.574074074444445
疏叶骆驼刺盐生草甸,0.09819165778787879,0.09475191069696969,2.6843434343939396,2.992424242363636
白茎绢蒿荒漠,0.35569968566666665,0.3093703855,12.708333332611112,14.796296295166668
盐生假木贼荒漠,0.2708080162307692,0.20554375073076925,9.570512820115384,9.955128205307691
盐生草荒漠,0.15938599783333332,0.14381237866666666,4.638888889333333,5.152777778333333
短叶假木贼荒漠,0.20103877978571427,0.21676118507142858,8.821428570642857,9.196428571142858
短花针茅典型草原,0.30843820725,0.374930623875,22.73958333375,20.958333335
短花针茅荒漠草原,0.2733254806,0.30340145139999997,13.266666665399999,14.016666667199999
紫花针茅、新疆银穗草草原,0.069201024,0.10457378185714286,1.9285714284285713,2.238095238
紫花针茅草原,0.20912103377272728,0.2573287811136364,13.547348484113638,12.632575757704545
线叶嵩草草甸,0.3228156482272727,0.4003870034090909,24.124999999545455,21.916666667272725
绢蒿属荒漠,0.2298770402857143,0.21192311142857143,8.11904762,8.726190476142857
羊茅、杂类草草甸草原,0.4618421429999999,0.446032462,23.731481481111114,25.23148148188889
羊茅草原,0.32491353544444446,0.35776599833333333,16.916666668111112,16.58333333411111
膜果麻黄荒漠,0.1495637294736842,0.14667869405263156,5.214912280473684,5.114035087578948
芦苇盐生草甸,0.12629227392592593,0.12509222314814816,4.265432098740741,4.493827160814815
芦苇盐生草甸（含盐生半灌木）,0.11859736366666666,0.13654904916666666,3.3611111111666667,3.4166666666666665
芦苇草甸,0.09159341768831168,0.09193203966233766,2.425324675272727,2.8452380952597403
芨芨草草原,0.25735311055555554,0.2743878573333334,11.499999999555556,12.370370370777778
芨芨草草甸,0.2504304524,0.261897054,8.766666667400001,9.4
花花柴盐生草甸,0.1766480672142857,0.1848673556428571,3.4404761905,4.315476190642857
草原苔草、杂类草草甸草原,0.3615054815384615,0.40437291569230766,25.102564102307692,23.903846153846153
蒿叶猪毛菜荒漠,0.13474646066666665,0.14312748316666665,6.5555555561666665,5.930555555333334
蒿属荒漠,0.12375236057142858,0.13464619457142857,3.559523808857143,3.988095238
薹草、珠芽蓼高寒草甸,0.3365924575,0.392275838125,27.25000000125,25.041666666250002
裸地,0.06143414028571429,0.075282563,1.2738095237142857,1.8452380954285716
针茅草原,0.3391723613636364,0.3795514217575758,22.46212121212121,21.113636363212123
锦鸡儿、镰芒针茅荒漠草原,0.20458299966666668,0.16983226183333333,8.694444444333334,10.416666667166666
镰芒针茅矮半灌木荒漠草原,0.25720482875,0.253377269625,12.09375,12.635416665875
镰芒针茅荒漠草原,0.3617427764,0.3410438724,23.850000002,20.016666666
霸王荒漠,0.1407023848888889,0.16098604111111112,5.009259259666667,6.083333333555555
驼绒藜荒漠,0.12216721748484848,0.12721361803030304,4.315656565848485,4.813131312757576
高山嵩草高寒草甸,0.29935946627272725,0.3719540806363636,24.568181818181817,22.0
高山绢蒿荒漠,0.35790080773684213,0.3356374413157895,16.58771929826316,14.557017543842104
鸭茅草甸,0.6220429550000001,0.6337183221428572,26.94047619,29.785714285714285
麻黄荒漠,0.1654163514,0.1322231626,4.166666666599999,4.5666666668
